Name,Total 3P Made,Total 3P Att,Total 3P%,Cold 3P Made,Cold 3P Att,Cold 3P%,Hot 3P Made,Hot 3P Att,Hot 3P%,Hot/Cold Diff,Hot Shot Makeup
sean rooks,0,0,0,0,0,0,0,0,0,0,0
shelvin mack,37,120,30.833333333333336,36,116,31.03448275862069,1,4,25,-6.03448275862069,3.3333333333333335
willie reed,1,4,25,1,4,25,0,0,0,-25,0
kent bazemore,92,266,34.58646616541353,81,244,33.19672131147541,11,22,50,16.803278688524593,8.270676691729323
markieff morris,71,196,36.224489795918366,68,190,35.78947368421053,3,6,50,14.210526315789473,3.061224489795918
toney douglas,7,42,16.666666666666664,7,41,17.073170731707318,0,1,0,-17.073170731707318,2.380952380952381
demarre carroll,109,320,34.0625,100,284,35.2112676056338,9,36,25,-10.2112676056338,11.25
doug edwards,0,0,0,0,0,0,0,0,0,0,0
jeremy lamb,41,146,28.08219178082192,40,140,28.57142857142857,1,6,16.666666666666664,-11.904761904761905,4.10958904109589
randy foye,67,203,33.004926108374384,61,182,33.51648351648351,6,21,28.57142857142857,-4.945054945054942,10.344827586206897
rondae hollis-jefferson,15,67,22.388059701492537,14,65,21.53846153846154,1,2,50,28.46153846153846,2.9850746268656714
russell westbrook,200,583,34.305317324185246,160,481,33.264033264033266,40,102,39.21568627450981,5.951653010476541,17.495711835334475
benoit benjamin,0,0,0,0,0,0,0,0,0,0,0
chris morris,0,0,0,0,0,0,0,0,0,0,0
david west,3,8,37.5,2,7,28.57142857142857,1,1,100,71.42857142857143,12.5
melvin booker,0,0,0,0,0,0,0,0,0,0,0
timothe luwawu-cabarrot,50,161,31.05590062111801,47,149,31.543624161073826,3,12,25,-6.543624161073826,7.453416149068323
courtney lee,108,269,40.14869888475837,101,251,40.23904382470119,7,18,38.88888888888889,-1.3501549358122986,6.691449814126393
ivica zubac,0,3,0,0,3,0,0,0,0,0,0
mike miller,8,20,40,6,17,35.294117647058826,2,3,66.66666666666666,31.37254901960783,15
antonio davis,0,0,0,0,0,0,0,0,0,0,0
cj wilcox,3,15,20,3,15,20,0,0,0,-20,0
chris dudley,0,0,0,0,0,0,0,0,0,0,0
clint capela,0,0,0,0,0,0,0,0,0,0,0
jared sullinger,3,18,16.666666666666664,3,17,17.647058823529413,0,1,0,-17.647058823529413,5.555555555555555
kendall gill,0,0,0,0,0,0,0,0,0,0,0
lamarcus aldridge,23,56,41.07142857142857,22,55,40,1,1,100,60,1.7857142857142856
stacey king,0,0,0,0,0,0,0,0,0,0,0
avery johnson,0,0,0,0,0,0,0,0,0,0,0
brian grant,0,0,0,0,0,0,0,0,0,0,0
joffrey lauvergne,33,98,33.6734693877551,28,89,31.46067415730337,5,9,55.55555555555556,24.094881398252188,9.183673469387756
archie goodwin,5,15,33.33333333333333,5,15,33.33333333333333,0,0,0,-33.33333333333333,0
greg anthony,0,0,0,0,0,0,0,0,0,0,0
ian clark,61,163,37.423312883435585,56,150,37.333333333333336,5,13,38.46153846153847,1.1282051282051313,7.975460122699387
andy toolson,0,0,0,0,0,0,0,0,0,0,0
harrison barnes,78,222,35.13513513513514,77,213,36.15023474178404,1,9,11.11111111111111,-25.03912363067293,4.054054054054054
jason terry,73,171,42.69005847953216,67,156,42.94871794871795,6,15,40,-2.948717948717949,8.771929824561402
christian laettner,0,0,0,0,0,0,0,0,0,0,0
jordan clarkson,117,356,32.86516853932584,102,319,31.974921630094045,15,37,40.54054054054054,8.565618910446496,10.393258426966293
jose calderon,20,64,31.25,20,62,32.25806451612903,0,2,0,-32.25806451612903,3.125
christian wood,0,5,0,0,5,0,0,0,0,0,0
cory joseph,48,135,35.55555555555556,44,129,34.10852713178294,4,6,66.66666666666666,32.558139534883715,4.444444444444445
demar derozan,33,124,26.61290322580645,31,118,26.27118644067797,2,6,33.33333333333333,7.06214689265536,4.838709677419355
harvey grant,0,0,0,0,0,0,0,0,0,0,0
javale mcgee,0,3,0,0,3,0,0,0,0,0,0
james jones,31,66,46.96969696969697,26,57,45.614035087719294,5,9,55.55555555555556,9.941520467836263,13.636363636363635
nik stauskas,132,359,36.768802228412255,120,326,36.809815950920246,12,33,36.36363636363637,-0.4461795872838792,9.192200557103064
taj gibson,3,13,23.076923076923077,3,13,23.076923076923077,0,0,0,-23.076923076923077,0
bo outlaw,0,0,0,0,0,0,0,0,0,0,0
cristiano felicio,0,0,0,0,0,0,0,0,0,0,0
dorian finney-smith,56,191,29.31937172774869,54,182,29.67032967032967,2,9,22.22222222222222,-7.44810744810745,4.712041884816754
rodney hood,114,307,37.13355048859935,97,261,37.16475095785441,17,46,36.95652173913043,-0.2082292187239787,14.983713355048861
brook lopez,134,387,34.62532299741602,112,324,34.5679012345679,22,63,34.92063492063492,0.35273368606701894,16.27906976744186
jonas jerebko,45,130,34.61538461538461,44,121,36.36363636363637,1,9,11.11111111111111,-25.252525252525256,6.923076923076923
tyler zeller,0,1,0,0,1,0,0,0,0,0,0
doug mcdermott,77,208,37.019230769230774,67,187,35.82887700534759,10,21,47.61904761904761,11.79017061370002,10.096153846153847
nerlens noel,0,1,0,0,1,0,0,0,0,0,0
patrick ewing,0,0,0,0,0,0,0,0,0,0,0
tony parker,23,69,33.33333333333333,22,66,33.33333333333333,1,3,33.33333333333333,0,4.3478260869565215
calbert cheaney,0,0,0,0,0,0,0,0,0,0,0
derek strong,0,0,0,0,0,0,0,0,0,0,0
hassan whiteside,0,0,0,0,0,0,0,0,0,0,0
patrick patterson,94,253,37.15415019762846,85,234,36.324786324786324,9,19,47.368421052631575,11.043634727845252,7.5098814229249005
richard dumas,0,0,0,0,0,0,0,0,0,0,0
tony allen,15,54,27.77777777777778,15,54,27.77777777777778,0,0,0,-27.77777777777778,0
maurice harkless,68,194,35.051546391752574,66,182,36.26373626373626,2,12,16.666666666666664,-19.5970695970696,6.185567010309279
pooh richardson,0,0,0,0,0,0,0,0,0,0,0
seth curry,137,322,42.54658385093168,126,287,43.90243902439025,11,35,31.428571428571427,-12.47386759581882,10.869565217391305
greg sutton,0,0,0,0,0,0,0,0,0,0,0
jr smith,95,271,35.05535055350554,83,228,36.40350877192983,12,43,27.906976744186046,-8.496532027743783,15.867158671586715
justin harper,2,7,28.57142857142857,2,7,28.57142857142857,0,0,0,-28.57142857142857,0
scott skiles,0,0,0,0,0,0,0,0,0,0,0
sedale threatt,0,0,0,0,0,0,0,0,0,0,0
adrian caldwell,0,0,0,0,0,0,0,0,0,0,0
bill wennington,0,0,0,0,0,0,0,0,0,0,0
joe ingles,123,279,44.086021505376344,110,245,44.89795918367347,13,34,38.23529411764706,-6.662665066026413,12.186379928315413
tyson chandler,0,0,0,0,0,0,0,0,0,0,0
charles smith,0,0,0,0,0,0,0,0,0,0,0
e'twaun moore,77,208,37.019230769230774,72,185,38.91891891891892,5,23,21.73913043478261,-17.17978848413631,11.057692307692307
glenn robinson,49,125,39.2,45,113,39.823008849557525,4,12,33.33333333333333,-6.489675516224196,9.6
jon barry,0,0,0,0,0,0,0,0,0,0,0
rudy gay,42,113,37.16814159292036,40,106,37.735849056603776,2,7,28.57142857142857,-9.164420485175206,6.1946902654867255
shaun livingston,1,3,33.33333333333333,1,3,33.33333333333333,0,0,0,-33.33333333333333,0
chinanu onuaku,0,0,0,0,0,0,0,0,0,0,0
dale ellis,0,0,0,0,0,0,0,0,0,0,0
john battle,0,0,0,0,0,0,0,0,0,0,0
mahmoud abdul-rauf,0,0,0,0,0,0,0,0,0,0,0
rik smits,0,0,0,0,0,0,0,0,0,0,0
salah mejri,1,3,33.33333333333333,1,3,33.33333333333333,0,0,0,-33.33333333333333,0
terry porter,0,0,0,0,0,0,0,0,0,0,0
wayne selden,7,28,25,7,27,25.925925925925924,0,1,0,-25.925925925925924,3.571428571428571
corey brewer,27,118,22.88135593220339,26,114,22.807017543859647,1,4,25,2.192982456140353,3.389830508474576
dirk nowitzki,79,209,37.79904306220095,69,188,36.702127659574465,10,21,47.61904761904761,10.916919959473148,10.047846889952153
ersan ilyasova,142,402,35.32338308457712,133,365,36.43835616438356,9,37,24.324324324324326,-12.114031840059237,9.203980099502488
fred roberts,0,0,0,0,0,0,0,0,0,0,0
glenn robinson iii,49,125,39.2,45,113,39.823008849557525,4,12,33.33333333333333,-6.489675516224196,9.6
laphonso ellis,0,0,0,0,0,0,0,0,0,0,0
marquese chriss,72,224,32.142857142857146,66,206,32.038834951456316,6,18,33.33333333333333,1.2944983818770126,8.035714285714286
vlade divac,0,0,0,0,0,0,0,0,0,0,0
dennis rodman,0,0,0,0,0,0,0,0,0,0,0
hubert davis,0,0,0,0,0,0,0,0,0,0,0
tobias harris,109,314,34.71337579617834,104,290,35.86206896551724,5,24,20.833333333333336,-15.028735632183903,7.643312101910828
andrew nicholson,5,27,18.51851851851852,5,27,18.51851851851852,0,0,0,-18.51851851851852,0
danny green,118,311,37.942122186495176,104,279,37.27598566308244,14,32,43.75,6.474014336917563,10.289389067524116
kevin durant,117,312,37.5,104,286,36.36363636363637,13,26,50,13.636363636363633,8.333333333333332
lucas nogueira,3,12,25,3,12,25,0,0,0,-25,0
luis scola,17,50,34,16,48,33.33333333333333,1,2,50,16.66666666666667,4
marcus thornton,28,80,35,25,70,35.714285714285715,3,10,30,-5.714285714285715,12.5
richaun holmes,27,77,35.064935064935064,27,77,35.064935064935064,0,0,0,-35.064935064935064,0
joe harris,85,221,38.46153846153847,75,205,36.58536585365854,10,16,62.5,25.914634146341463,7.239819004524888
monty williams,0,0,0,0,0,0,0,0,0,0,0
pierre jackson,3,11,27.27272727272727,3,11,27.27272727272727,0,0,0,-27.27272727272727,0
adam keefe,0,0,0,0,0,0,0,0,0,0,0
john stockton,0,0,0,0,0,0,0,0,0,0,0
mark jackson,0,0,0,0,0,0,0,0,0,0,0
